EPIC Nombre,EPIC Descripción,USER STORY Título,Como,Quiero,Para,AC Given,AC When,AC Then,TASKS
"Gestión de Transacciones","Gestionar ciclo de vida de transacciones con filtros y paginación para consulta eficiente.","Crear transacción manual","Como usuario autenticado","Quiero registrar una transacción con datos explícitos","Para tener control total cuando el texto no sea suficiente","Given monto, tipo, fecha y categoría válidos","When envío la solicitud de creación manual","Then la transacción se guarda correctamente para mi usuario","- Implementar validaciones de CreateTransactionDto | - Persistir con Prisma incluyendo relación con categoría | - Retornar TransactionResponseDto estandarizado"
"Gestión de Transacciones","Gestionar ciclo de vida de transacciones con filtros y paginación para consulta eficiente.","Listar transacciones con filtros","Como usuario autenticado","Quiero filtrar por rango de fechas, tipo y categoría","Para analizar mejor mis movimientos","Given transacciones existentes para el usuario","When consulto el endpoint con filtros válidos","Then recibo resultados paginados y ordenados por fecha descendente","- Implementar ListTransactionsDto con paginación y filtros | - Construir query dinámica en Prisma | - Agregar índices por userId y date"
"Gestión de Transacciones","Gestionar ciclo de vida de transacciones con filtros y paginación para consulta eficiente.","Eliminar transacción propia","Como usuario autenticado","Quiero eliminar una transacción creada por error","Para mantener mis datos correctos","Given una transacción perteneciente al usuario","When solicito eliminarla","Then la transacción se elimina y no aparece en listados posteriores","- Crear endpoint DELETE /transactions/:id | - Validar ownership y manejo de not found | - Agregar test de integración para borrado"
"Metas de Ahorro","Permitir crear y seguir metas para incentivar hábitos de ahorro.","Crear meta de ahorro","Como usuario autenticado","Quiero definir una meta con monto objetivo y fecha límite","Para planificar mis ahorros","Given un nombre de meta, objetivo y fecha válidos","When creo una nueva meta","Then la meta queda activa con progreso inicial en cero","- Implementar CreateGoalDto con validaciones de negocio | - Persistir Goal en Prisma con relación userId | - Exponer endpoint POST /goals"
"Metas de Ahorro","Permitir crear y seguir metas para incentivar hábitos de ahorro.","Contribuir a una meta","Como usuario autenticado","Quiero registrar aportes a una meta","Para visualizar cuánto me falta para alcanzarla","Given una meta activa del usuario y un aporte válido","When registro una contribución","Then el progreso acumulado de la meta se actualiza correctamente","- Implementar endpoint POST /goals/:id/contributions | - Actualizar acumulado en transacción atómica Prisma | - Validar que el aporte sea mayor a cero"
"Metas de Ahorro","Permitir crear y seguir metas para incentivar hábitos de ahorro.","Consultar estado de metas","Como usuario autenticado","Quiero ver porcentaje de avance y estado de mis metas","Para priorizar mis próximos aportes","Given metas activas y/o completadas para el usuario","When consulto el listado de metas","Then recibo porcentaje de progreso y estado calculado","- Implementar cálculo de progreso en GoalResponseDto | - Exponer endpoint GET /goals | - Agregar pruebas de cálculos de progreso"
"Insights Financieros","Entregar resumen mensual accionable de ingresos, gastos y balance para toma de decisiones.","Ver resumen mensual","Como usuario autenticado","Quiero ver total de ingresos, total de gastos y balance del mes","Para entender mi salud financiera mensual","Given transacciones del usuario en un mes determinado","When consulto el endpoint de summary mensual","Then recibo totales correctos de ingresos, gastos y balance","- Implementar agregaciones Prisma por mes y tipo | - Exponer endpoint GET /insights/summary?month=YYYY-MM | - Definir MonthSummaryResponseDto"
"Insights Financieros","Entregar resumen mensual accionable de ingresos, gastos y balance para toma de decisiones.","Top categorías de gasto","Como usuario autenticado","Quiero conocer mis categorías con mayor gasto","Para identificar oportunidades de ahorro","Given gastos registrados en múltiples categorías","When solicito el resumen mensual","Then se incluyen las categorías ordenadas por monto descendente","- Agregar agregación groupBy por categoría en servicio de summary | - Incluir top N en DTO de respuesta | - Cubrir con prueba de servicio"
"Insights Financieros","Entregar resumen mensual accionable de ingresos, gastos y balance para toma de decisiones.","Comparativo básico vs mes anterior","Como usuario autenticado","Quiero ver variación de gasto frente al mes anterior","Para medir si estoy mejorando mis hábitos","Given datos del mes actual y del mes previo","When consulto el resumen mensual","Then recibo porcentaje de variación de gasto","- Implementar cálculo de variación porcentual con control de división por cero | - Extender DTO para incluir campo expenseVariation | - Agregar pruebas de casos borde"
"Plataforma y Calidad","Garantizar estabilidad, trazabilidad y mantenibilidad del backend durante MVP1.","Manejo estandarizado de errores","Como usuario de la API","Quiero respuestas de error consistentes","Para integrar fácilmente desde cliente móvil/web","Given una excepción de validación o negocio","When se procesa la solicitud","Then la API responde con estructura estándar de error","- Unificar GlobalExceptionFilter para errores comunes | - Definir contrato de error en DTO/documentación | - Agregar tests e2e de errores frecuentes"
"Plataforma y Calidad","Garantizar estabilidad, trazabilidad y mantenibilidad del backend durante MVP1.","Health check operativo","Como equipo de operaciones","Quiero un endpoint de salud","Para monitorear disponibilidad del servicio","Given la API en ejecución","When consulto /health","Then recibo estado OK y metadatos básicos de servicio","- Validar controlador de health existente y ampliar respuesta | - Incluir chequeo básico de conexión a base de datos | - Documentar uso para monitoreo local"
"Plataforma y Calidad","Garantizar estabilidad, trazabilidad y mantenibilidad del backend durante MVP1.","Logging de requests","Como equipo técnico","Quiero trazas de requests y tiempos de respuesta","Para diagnosticar incidentes rápidamente","Given solicitudes a endpoints del API","When pasan por el pipeline de NestJS","Then quedan registrados método, ruta, status y duración","- Ajustar RequestLoggingInterceptor para campos mínimos obligatorios | - Enmascarar datos sensibles en logs | - Verificar formato consistente en ambiente dev"
"Datos y Entorno MVP","Asegurar que el entorno local y de desarrollo sea reproducible para todo el equipo.","Levantar entorno con Docker","Como desarrollador del equipo","Quiero ejecutar PostgreSQL con docker-compose","Para iniciar el proyecto sin fricción","Given docker y docker-compose instalados","When ejecuto docker-compose up -d","Then la base de datos queda disponible en el puerto configurado","- Validar docker-compose.yml y variables de entorno .env | - Crear script de verificación de conectividad a DB | - Documentar pasos de setup en README"
"Datos y Entorno MVP","Asegurar que el entorno local y de desarrollo sea reproducible para todo el equipo.","Migraciones de base de datos","Como desarrollador del equipo","Quiero aplicar migraciones Prisma de forma consistente","Para mantener el esquema alineado entre entornos","Given migraciones nuevas en prisma/migrations","When ejecuto prisma migrate deploy","Then el esquema queda actualizado sin errores","- Revisar y consolidar migraciones iniciales del MVP1 | - Añadir comando npm para migrate:deploy | - Verificar compatibilidad con esquema actual"
"Datos y Entorno MVP","Asegurar que el entorno local y de desarrollo sea reproducible para todo el equipo.","Datos semilla iniciales","Como desarrollador y QA","Quiero poblar datos básicos del sistema","Para probar flujos end-to-end rápidamente","Given una base de datos vacía","When ejecuto el seed de Prisma","Then se crean categorías base y datos mínimos de prueba","- Completar prisma/seed.ts con categorías del sistema | - Añadir script npm para seed y reseed | - Documentar datos generados y uso en pruebas"
